com,putImage,background1,backgroundObject,,0,0,500
,,これを見ているってことは、覚えててくれてたんだね。あの時の言葉。,,,,,
com,putImage,A_face,eventObject,2,0,-50,100
,,結局、あんなことを言ったきりになっちゃって。,,,,,
,,それに、私、自分のことを打ち明けられなかった。,,,,,
,,ごめんね・・・・。本当に・・・なんであんなこと言っちゃったんだろう・・・。,,,,,
,,本当は、ただ、一緒にいたいって言いたかっただけだったのに。,,,,,
,,最初に出会った時だって、誰ともしゃべる相手もいなかった私を連れ出してくれて。,,,,,
,,お姉ちゃんができたみたいで、うれしかった。,,,,,
,,楽しかった。ただ、ありがとうって言いたかっただけなのに。,,,,,
,,ごめんね。言えなくて、あんな言葉で突き放しちゃって。,,,,,
,,こんな別れ方をして、ごめんなさい。,,,,,
,,だから、忘れないで。できなかったなんて思ってない。,,,,,
,,だって、私、たくさん思い出作れたんだよ。たくさん出す。,,,,,
com,removeImage,A_face,,,,,
,,だから、ありがとう。幸せだったよ。はるちゃん。,,,,,
com,end,,,,,,
